,addresses,build_status,category,flat_type,importance,latitude,lease_type,longitude,prices,sale_dates,subcategory
0,"Flat 14 Buchanan House, 7 Troubridge Square, London, E17 3GS",Newbuild,,Flat,,,Leasehold,,517275.0,2018-09-26,
1,"Flat 26 Buchanan House, 7 Troubridge Square, London, E17 3GS",Newbuild,,Flat,,,Leasehold,,527175.0,2018-09-26,
2,"91 Dames Road, London, E7 0DW",Non-Newbuild,highway,Terraced,0.61,51.5539018,Freehold,0.0233915,420000.0,2018-09-25,secondary
3,"82 Ramsay Road, London, E7 9EW",Non-Newbuild,highway,Terraced,0.51,51.5569088,Freehold,0.017585,420000.0,2018-09-25,residential
4,"21 Mandela Street, London, SW9 6EL",Non-Newbuild,highway,Terraced,0.52,51.4785331,Freehold,-0.110912,560000.0,2018-09-25,residential
5,"115 Murray Road, London, W5 4DB",Non-Newbuild,highway,Terraced,0.51,51.4936125,Leasehold,-0.3132106,495000.0,2018-09-24,residential
6,"55 Briar Avenue, London, SW16 3AB",Non-Newbuild,highway,Semi Detached,0.61,51.4176125,Freehold,-0.1197986,535000.0,2018-09-24,residential
7,"26 Carlingford Road, London, N15 3EH",Non-Newbuild,highway,Terraced,0.61,51.5894258,Freehold,-0.0974695,500000.0,2018-09-24,residential
8,"30 Darwin Road, London, W5 4BD",Non-Newbuild,highway,Terraced,0.51,51.4947089,Freehold,-0.3059546,820000.0,2018-09-24,residential
9,"Flat 5 Peace Court, 8 Swynford Gardens, London, NW4 4XL",Non-Newbuild,,Flat,,,Leasehold,,260000.0,2018-09-24,
10,"Flat 2 59 Dalston Lane, London, E8 2NG",Non-Newbuild,highway,Flat,0.62,51.5462797,Leasehold,-0.0699216,795000.0,2018-09-24,primary
11,"5 Griffins Close, London, N21 2EW",Non-Newbuild,highway,Detached,0.61,51.633648,Freehold,-0.0846013,920000.0,2018-09-24,residential
12,"56 Chatham Road, Walthamstow, London, E17 6EU",Non-Newbuild,highway,Terraced,0.41,51.5948356,Freehold,0.0153564,660000.0,2018-09-21,residential
13,"42 Elm Park Road, London, N3 1EB",Non-Newbuild,place,Terraced,0.521,51.48630785,Freehold,-0.17676975,1112500.0,2018-09-21,house
14,"47 Stanley Road, London, SW14 7EB",Non-Newbuild,shop,Terraced,0.421,51.352929,Freehold,-0.1621619,650000.0,2018-09-21,convenience
15,"354a North End Road, London, SW6 1LY",Non-Newbuild,highway,Flat,0.71,51.4810658,Leasehold,-0.1991401,500000.0,2018-09-21,secondary
16,"137 Rusthall Avenue, London, W4 1BL",Non-Newbuild,highway,Terraced,0.51,51.4991882,Freehold,-0.2609926,1260000.0,2018-09-21,residential
17,"193 Grangehill Road, London, SE9 1SR",Non-Newbuild,highway,Terraced,0.51,51.4635317,Freehold,0.0567287,525000.0,2018-09-21,tertiary
18,"Flat 15 9 Devonhurst Place, London, W4 4JB",Non-Newbuild,,Flat,,,Leasehold,,785000.0,2018-09-21,
19,"9 Rotherwick Road, London, NW11 7DG",Non-Newbuild,highway,Semi Detached,0.51,51.5741202,Freehold,-0.1932932,1510000.0,2018-09-21,residential
20,"40 Paddock Road, London, NW2 7DL",Non-Newbuild,highway,Semi Detached,0.51,51.5641837,Freehold,-0.237102,630000.0,2018-09-21,uncategoryified
21,"Flat 17 Buchanan House, 7 Troubridge Square, London, E17 3GS",Newbuild,,Flat,,,Leasehold,,381000.0,2018-09-21,
22,"33 Highclere Street, London, SE26 4EX",Non-Newbuild,highway,Terraced,0.51,51.4280203,Freehold,-0.0426623,410000.0,2018-09-21,residential
23,"34 Linden Avenue, London, NW10 5RL",Non-Newbuild,building,Semi Detached,0.621,51.53346945,Freehold,-0.220749544778,1225000.0,2018-09-21,yes
24,"Flat 16 Buchanan House, 7 Troubridge Square, London, E17 3GS",Newbuild,,Flat,,,Leasehold,,376000.0,2018-09-21,
25,"37 Narcissus Road, London, NW6 1TL",Non-Newbuild,highway,Terraced,0.51,51.5509169,Freehold,-0.1958482,1475000.0,2018-09-21,residential
26,"22 Gordon Road, South Woodford, London, E18 1DN",Non-Newbuild,highway,Semi Detached,0.72,51.5974888,Freehold,0.0340419,580000.0,2018-09-21,residential
27,"239 New Kings Road, London, SW6 4XG",Non-Newbuild,highway,Terraced,0.61,51.4727014,Freehold,-0.2002992,2531630.0,2018-09-21,primary
28,"Flat 9 59 Christchurch Hill, London, NW3 1JJ",Non-Newbuild,,Flat,,,Leasehold,,486520.0,2018-09-21,
29,"29 Woodville Road, Walthamstow, London, E17 7ER",Non-Newbuild,,Terraced,,,Freehold,,560000.0,2018-09-21,
30,"Flat 19 St George's Court, 83 - 89 St Georges Drive, London, SW1V 4DB",Non-Newbuild,,Flat,,,Leasehold,,740000.0,2018-09-21,
31,"83 Ridge Road, London, N21 3EL",Non-Newbuild,place,Semi Detached,0.411,41.6153771584,Freehold,-72.0913489705,650000.0,2018-09-21,house
32,"16 Old Farm Avenue, London, N14 5QP",Non-Newbuild,highway,Terraced,0.71,51.6377252,Freehold,-0.1322814,900000.0,2018-09-21,residential
33,"Flat 801 Michigan Building, 2 Biscayne Avenue, London, E14 9QT",Non-Newbuild,,Flat,,,Leasehold,,391000.0,2018-09-21,
34,"Flat 2 Regis Court Melcombe Place, London, NW1 6JG",Non-Newbuild,,Flat,,,Leasehold,,650000.0,2018-09-21,
35,"Flat 61 Ability Place, 37 Millharbour, London, E14 9HB",Non-Newbuild,,Flat,,,Leasehold,,428500.0,2018-09-21,
36,"47 Uphill Grove, Mill Hill, London, NW7 4NH",Non-Newbuild,highway,Detached,0.71,51.6196727,Freehold,-0.2454261,950000.0,2018-09-21,residential
37,"5 Overton Drive, London, E11 2NN",Non-Newbuild,,Terraced,,,Freehold,,1005000.0,2018-09-21,
38,"Ground Floor Front Flat 10 Linden Gardens, London, W2 4ES",Non-Newbuild,,Flat,,,Leasehold,,725000.0,2018-09-21,
39,"Flat 253 Manhattan Building Fairfield Road, London, E3 2UJ",Non-Newbuild,,Flat,,,Leasehold,,310000.0,2018-09-21,
40,"17 Holders Hill Drive, London, NW4 1NL",Non-Newbuild,highway,Semi Detached,0.71,51.5959511,Freehold,-0.2114858,770000.0,2018-09-21,residential
41,"Flat 3 Blake Court, 1 Newsholme Drive, London, N21 1SQ",Non-Newbuild,,Flat,,,Leasehold,,600000.0,2018-09-21,
42,"21 Lynwood Road, London, W5 1JQ",Non-Newbuild,highway,Terraced,0.61,51.5284927,Freehold,-0.2998527,910000.0,2018-09-21,residential
